seed,episodic_return,env,id
14,263107.859375,Breakout-MinAtar,673
15,240208.40625,Breakout-MinAtar,673
16,277609.515625,Breakout-MinAtar,673
17,241706.09375,Breakout-MinAtar,673
18,246674.125,Breakout-MinAtar,673
19,311751.984375,Breakout-MinAtar,673
20,276656.375,Breakout-MinAtar,673
21,310728.453125,Breakout-MinAtar,673
22,233729.0625,Breakout-MinAtar,673
23,151969.03125,Breakout-MinAtar,673
24,118791.3125,Breakout-MinAtar,673
25,247852.53125,Breakout-MinAtar,673
26,198430.84375,Breakout-MinAtar,673
27,205590.28125,Breakout-MinAtar,673
28,349800.515625,Breakout-MinAtar,673
29,217684.4375,Breakout-MinAtar,673
0,73926.015625,Breakout-MinAtar,361
1,51499.296875,Breakout-MinAtar,361
2,65654.828125,Breakout-MinAtar,361
3,53589.765625,Breakout-MinAtar,361
4,52192.203125,Breakout-MinAtar,361
5,45912.34375,Breakout-MinAtar,361
6,51505.078125,Breakout-MinAtar,361
7,52395.234375,Breakout-MinAtar,361
8,69811.015625,Breakout-MinAtar,361
9,49600.609375,Breakout-MinAtar,361
10,55442.21875,Breakout-MinAtar,361
11,54664.984375,Breakout-MinAtar,361
12,66232.25,Breakout-MinAtar,361
13,49635.65625,Breakout-MinAtar,361
14,56614.515625,Breakout-MinAtar,361
15,49954.875,Breakout-MinAtar,361
16,44035.09375,Breakout-MinAtar,361
17,54511.0625,Breakout-MinAtar,361
18,47698.703125,Breakout-MinAtar,361
19,49091.578125,Breakout-MinAtar,361
20,54519.78125,Breakout-MinAtar,361
21,32100.171875,Breakout-MinAtar,361
22,47073.203125,Breakout-MinAtar,361
23,61217.953125,Breakout-MinAtar,361
24,52194.890625,Breakout-MinAtar,361
25,36287.703125,Breakout-MinAtar,361
26,64618.25,Breakout-MinAtar,361
27,59278.578125,Breakout-MinAtar,361
28,33817.703125,Breakout-MinAtar,361
29,47378.703125,Breakout-MinAtar,361
0,187683.109375,Breakout-MinAtar,41
1,175751.46875,Breakout-MinAtar,41
2,182983.859375,Breakout-MinAtar,41
3,215693.25,Breakout-MinAtar,41
4,177760.015625,Breakout-MinAtar,41
5,224537.125,Breakout-MinAtar,41
6,186017.203125,Breakout-MinAtar,41
7,165161.046875,Breakout-MinAtar,41
8,197143.5,Breakout-MinAtar,41
9,127339.03125,Breakout-MinAtar,41
10,195833.328125,Breakout-MinAtar,41
11,97340.96875,Breakout-MinAtar,41
12,93206.78125,Breakout-MinAtar,41
13,93084.25,Breakout-MinAtar,41
14,122718.453125,Breakout-MinAtar,41
15,176190.921875,Breakout-MinAtar,41
16,149361.1875,Breakout-MinAtar,41
17,197192.8125,Breakout-MinAtar,41
18,152751.796875,Breakout-MinAtar,41
19,185234.890625,Breakout-MinAtar,41
20,138938.15625,Breakout-MinAtar,41
21,226245.984375,Breakout-MinAtar,41
22,166534.25,Breakout-MinAtar,41
23,97193.296875,Breakout-MinAtar,41
24,150655.171875,Breakout-MinAtar,41
25,138397.15625,Breakout-MinAtar,41
26,166524.0,Breakout-MinAtar,41
27,168746.84375,Breakout-MinAtar,41
28,204716.4375,Breakout-MinAtar,41
29,89507.65625,Breakout-MinAtar,41
0,7801.703125,Breakout-MinAtar,462
1,52.75,Breakout-MinAtar,462
2,3694.625,Breakout-MinAtar,462
